id,full_name,abbreviation,nickname,city,state,year_founded,year_closed
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,1949,NULL
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,NULL
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,NULL
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002,NULL
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,NULL
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980,NULL
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976,NULL
1610612744,Golden State Warriors,GSW,Warriors,San Francisco,California,1946,NULL
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967,NULL
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970,NULL
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948,NULL
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,NULL
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,NULL
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989,NULL
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,NULL
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,NULL
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,NULL
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,NULL
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,NULL
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968,NULL
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970,NULL
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948,NULL
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976,NULL
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967,NULL
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,NULL
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974,NULL
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995,NULL
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,NULL
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,NULL
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,NULL
1610612751,New Jersey Nets,NJN,Nets,East Rutherford,New Jersey,1967,2012
1610612740,New Orleans Hornets,NOH,Hornets,New Orleans,Louisiana,2002,2013
1610612760,Seattle SuperSonics,SEA,SuperSonics,Seattle,Washington,1967,2008
1610612763,Vancouver Grizzlies,VAN,Grizzlies,Vancouver,British Columbia,1995,2001
1610612766,Charlotte Hornets,CHH,Hornets,Charlotte,North Carolina,1988,2002
1610612740,New Orleans/Oklahoma City Hornets,NOK,Hornets,Oklahoma City,Oklahoma,2005,2007
